,EBITDA,avg10Volume,avg30Volume,beta,companyName,currentDebt,day200MovingAvg,day30ChangePercent,day50MovingAvg,day5ChangePercent,debtToEquity,dividendYield,employees,enterpriseValue,enterpriseValueToRevenue,exDividendDate,float,forwardPERatio,grossProfit,marketcap,maxChangePercent,month1ChangePercent,month3ChangePercent,month6ChangePercent,nextDividendDate,nextEarningsDate,peHigh,peLow,peRatio,pegRatio,priceToBook,priceToSales,profitMargin,revenue,revenuePerEmployee,revenuePerShare,sharesOutstanding,totalCash,totalRevenue,ttmDividendRate,ttmEPS,week52change,week52high,week52low,year1ChangePercent,year2ChangePercent,year5ChangePercent,ytdChangePercent
0,2189000000,1601964.7,1813636.37,0.9705993326545392,"Zoetis, Inc.",9000000,97.16,0.038993,110.43,-0.007159,2.95,0.005038658674311528,10000,59849092160.0,10.27,2019-07-18,478254407.616,32.98,3797000000,55098092160,2.332151,0.020841,0.136777,0.376091,,2019-08-06,35.68501529051988,24.12844036697248,39.99,2.31,25.21651815102975,9.46,0.24515021459227468,5825000000,582500.0,12.17,478656000,1701000000,5825000000,0.58,2.8783,0.35105600000000003,116.69,78.9,0.351056,0.757014,2.371289,0.362571
0,7081300000,4919036.7,6431849.07,0.8200102880108531,Allergan Plc,868300000,149.36,0.388716,145.11,-0.010146,0.37,0.0180146602062368,16900,74663507520.0,4.73,2019-08-12,326911337.984,9.62,6974300000,52773107520,4.139478,-0.030299,0.100342,0.014431,2019-08-12,2019-08-07,11.761194029850746,6.822089552238806,-7.46,-5.57,0.8104712730422442,3.34,-0.3228143962907128,15787400000.000002,934165.68,48.16,327824000,1907300000,15787400000.000002,2.9,-21.583,-0.098757,197.0,114.27,-0.098757,-0.389295,-0.268515,0.184722
0,4096707239.9999995,1023127.3,1218963.7,0.574189327918519,"Takeda Pharmaceutical Co., Ltd.",8918019605.18589,18.89,-0.013458,17.46,-0.017483,1.15,,49578,73430300798.05312,3.88,,,,11207409643.0284,,-0.136,-0.04041,-0.083197,-0.18036,,2019-08-01,68.05948305799474,48.06022721635164,21.42,-0.47,1.1328979145335845,1.4,0.05203354529606768,18911855635.06111,381456.61,6.04,,6553453494.150069,18911855635.06111,,0.7871,-0.193687,21.95,15.5,-0.193687,-0.247849,-0.180723,0.002378
0,8871000000,1303726.6,1383781.4,0.9383144403741871,"HCA Healthcare, Inc.",788000000,132.14,0.145542,131.91,0.031941,-6.63,0.009995863780504618,262000,81927053420.0,1.76,2019-05-31,267915131.225,13.96,7040000000,49655053420,3.151515,0.08173,0.156594,0.101192,,2019-07-30,14.161383285302593,10.596541786743517,13.6,0.5,-10.031323923232323,1.06,0.08113203504938192,46677000000,178156.49,136.36,342307000,549000000,46677000000,1.45,10.6648,0.16842500000000002,147.42,110.31,0.168425,0.535655,1.498642,0.19136
0,5813200000,1421252.6,1631067.8,0.8142261471276,"Biogen, Inc.",,281.19,0.046295,231.99,0.024647,0.46,,7800,46335619870.0,3.84,,184217363.48499998,7.4,9855200000,43937119870,5.922874,-0.006506,0.038495,-0.278173,,2019-10-23,11.743446920052424,7.081258191349934,8.85,0.15,3.369514392312648,3.65,0.367610576883188,12052700000,1545217.95,65.35,184447000,3538000000,12052700000,,26.9271,-0.30020600000000003,358.41,216.12,-0.300206,-0.093503,-0.168768,-0.218189
0,1062000000,1533042.5,1380751.73,1.6276941135016003,"Illumina, Inc.",1107000000,315.04,-0.125291,331.02,0.008784,0.53,,7300,42717300000.0,12.82,,146419791,47.16,2327000000,44232300000,274.220339,-0.155961,-0.035701,0.045954,,2019-07-29,64.86541737649064,45.76149914821125,52.01,5.03,11.770170303352847,13.27,0.24782478247824782,3333000000,456575.34,22.67,147000000,3512000000,3333000000,,5.785,-0.00083,380.76,268.62,-0.00083,0.758787,1.293017,0.021662
0,1169700000,1449849.6,1516769.13,1.2778563455942136,Edwards Lifesciences Corp.,,170.9,0.157234,185.39,0.097108,0.19,,12800,44016950700.0,11.82,,206905917.19,39.86,2800700000,44379650700,25.713869,0.147873,0.22096,0.264405,,2019-10-24,44.47570850202429,27.232793522267205,61.34,5.43,14.131846484524264,11.92,0.19399376813151395,3722799999.9999995,290843.75,17.85,208502000,956500000,3722799999.9999995,,3.47,0.500317,219.71,134.53,0.500317,0.663848,3.369389,0.426226
0,737638000,1093346.5,1052958.4,1.2574255459516832,"Vertex Pharmaceuticals, Inc.",9817000,177.04,-0.019915,174.48,-0.041648,0.13,,2500,40151791430.0,13.17,,255704547.254,38.62,2639310000,42728666430,14.887273,-0.065797,-0.032982,-0.113031,,2019-07-31,43.80536912751677,33.95973154362416,19.72,0.39,9.633982126635466,14.01,0.6876021082054244,3048849000,1219539.6,11.9,256120999.99999997,3168242000,3048849000,,8.46,-0.030621999999999996,195.81,151.8,-0.030622,0.51886,1.681602,0.01676
0,2552000000,2641534.4,2350085.37,0.8116780246662145,"Baxter International, Inc.",4000000,73.4,0.092647,79.59,0.02975,0.45,0.009277745155607751,50000,45085805200.0,4.05,2019-08-29,508965023.856,25.19,4845000000,43440805200,3.165948,0.042611,0.127665,0.213482,2019-08-29,2019-10-24,26.82662538699691,18.900928792569662,28.12,1.8,5.5736214010777525,3.9,0.1459512896557922,11127000000,222540.0,21.81,510168000,1832000000,11127000000,0.79,3.0281,0.187422,86.65,61.05,0.187422,0.388151,0.03452,0.303982
0,,910402.7,1131519.93,0.9109687699527215,"Humana, Inc.",1694000000,283.72,0.099432,262.23,-0.018853,0.6,0.007404196915519919,43600,43456140450.0,,2019-06-27,134694036.625,15.84,,37387140450,25.729122,0.046372,0.077986,-0.082087,,2019-07-31,22.710912571793234,14.400127632418632,21.53,0.65,3.679474505462061,,,,0.0,,135035000,,,2.05,12.86,-0.121327,355.88,225.65,-0.121327,0.088986,1.097018,-0.016762
0,2682600000,763792.8,886404.03,1.2029834194170663,"Regeneron Pharmaceuticals, Inc.",,362.8,0.012908,306.95,0.042695,0.08,,7400,31796586289.72,4.74,,81566467.593,14.33,6128500000,33897986290,48.960813,-0.004796,-0.101613,-0.253098,,2019-08-06,19.548872180451127,12.722689075630253,13.78,-2.93,3.8033450789626944,5.05,0.3642486737795792,6710800000,906864.86,62.29,107727000,2809900000,6710800000,,22.43,-0.158923,442.0,287.66,-0.158923,-0.186948,0.20083,-0.169853
0,1951000000,1031419.7,1393640.23,1.129302122674892,"IQVIA Holdings, Inc.",100000000,134.22,0.131493,148.51,0.023101,1.64,,58000,41388692600.0,3.97,,174925811.515,25.14,2526000000,31319692600,19.317716,0.02075,0.149472,0.28222,,2019-10-23,27.446488294314378,17.54180602006689,128.3,6.9,4.664833571641346,3.01,0.024872755209833862,10413000000,179534.48,53.16,195895000,938000000,10413000000,,1.2461,0.327356,164.13,104.9,0.327356,0.659134,1.930729,0.398653
0,1390000000,742329.0,887322.77,0.1947535404166699,"Alcon, Inc.",47000000,59.2,0.025216,59.78,-0.007358,0.01,,20381,28918232000.0,4.04,,,30.76,3192000000,29009232000,0.026017,-0.014608,0.033786,0.022743,,2019-08-20,,,,,1.2813830999602456,4.06,-0.031734936390325735,7153000000,350964.13,14.64,488700000,227000000,7153000000,,,0.022743000000000003,63.73,53.78,0.022743,0.026017,0.026017,0.022743
0,2019000000,1982173.5,1699426.13,1.431659862811526,"Alexion Pharmaceuticals, Inc.",343800000,123.53,-0.027983,123.53,-0.062868,0.35,,2656,27345841010.0,6.62,,223530326.711,11.61,3444400000,25703141010,41.934169,-0.091032,-0.152709,-0.03842,,2019-10-28,15.43634385201306,10.071817192600653,19.23,0.7,2.8043971293901997,6.22,0.018775707718364384,4133000000,1556099.4,18.43,224227000,1563800000,4133000000,,5.9607,-0.130471,141.86,92.56,-0.130471,0.100257,-0.108798,0.169097
