,accountsPayable,capitalSurplus,commonStock,currentAssets,currentCash,currentLongTermDebt,goodwill,intangibleAssets,inventory,longTermDebt,longTermInvestments,minorityInterest,netTangibleAssets,otherAssets,otherCurrentAssets,otherCurrentLiabilities,otherLiabilities,propertyPlantEquipment,receivables,retainedEarnings,shareholderEquity,shortTermInvestments,symbol,totalAssets,totalCurrentLiabilities,totalLiabilities,treasuryStock
2019-03-31,166000000,11004000000,,6037000000,4696000000,,9763000000,760000000,45000000,2893000000.0,,0.0,-10271000000.0,503000000.0,702000000,2067000000,1142000000,512000000.0,594000000,6757000000,11596000000.0,,ATVI,17948000000.0,2295000000,6352000000.0,5563000000
2019-03-31,1952650000,2048938000,,3266522000,554896000,3745000,267012000,79697000,26679000,1024304000.0000001,526751000,0.0,464850000.0,16947000.0,639195000,204123000,73139000,245662000.0,1419743000,-923925000,1121589000.0,566539000,SQ,4402591000.0,2183559000,3281002000.0,
2019-06-30,206282000,8535463000,4000,7512783000,2184490000.0000005,969241000,1246883000,50721999.99999998,,2394881000.0,25518000,0.0,7097931000.000001,53525000.0,104962000,558215000,24781000,1677368000.0,719904000,-143709000,8344814000.0,4503427000,TWTR,12521607000.0,1733738000,4176792999.9999995,
2019-03-31,30443000000.0,,42801000000.0,123346000000.0,38329000000.0,10505000000,0,,4884000000.0,90201000000.0,146807000000.0,0.0,105860000000.0,33099000000.0,11751000000.0,40900000000,6279000000,38746000000.0,15085000000.0,64558000000.0,105860000000.0,42104000000.0,AAPL,341998000000.0,93772000000.0,236138000000.0,
2019-03-31,10207000000.0,63624000000,4009000000.0,22312000000.0,2738000000.0,,46753000000,25836000000,5358000000.0,21359000000.0,165000000.0,31000000.0,-69608000000.0,5614000000.0,1933000000.0,9252000000,9441000000,20993000000.0,5198000000.0,102103000000.0,55072000000.0,7085000000.0,PG,121673000000.0,28370000000.0,66121000000.0,99484000000
2019-06-30,12537000000.0,16833000000,1760000000.0,24360000000.0,6731000000.0,2749000000,16840000000,10075000000,3453000000.0,30367000000.0,22468000000.0,21000000.0,1341000000.0,2110000000.0,2658000000.0,,7265000000,11584000000.0,4888000000.0,64602000000.0,18181000000.0,6630000000.0,KO,89996000000.0,29382000000.0,69701000000.0,52033000000
2019-03-31,23905533721.8232,4401337127.88544,3587206938.60957,170567258436.10202,32296191895.920902,38435741066.9919,0,,23999602475.4935,95324072819.2619,97516817997.0186,228020448.674763,179303654515.065,6991877850.0,7281600939.603379,51142639020.643906,5561720200,96539675656.14131,81497086326.0604,198649455662.466,179303654515.065,20359687401.1835,TM,469232045896.011,164673966662.14902,283432615078.827,23552649410.4892
2019-06-30,16055000000.0,3796000000,23000000.0,17212000000.0,3443000000.0,,15632000000,15581000000,3988000000.0,28783000000.0,2510000000.0,8000000.0,-34490000000.0,853000000.0,988000000.0,,8678000000,18915000000.0,8502000000.0,60752000000.0,13952000000.0,291000000.0,PEP,75084000000.0,19928000000.0,61047000000.0,35635000000
2019-05-31,2612000000.0,7163000000,3000000.0,16525000000.0,4466000000.0,6000000,154000000,283000000,5622000000.0,3464000000.0,11000000.0,0.0,8429000000.0,2000000000.0,1968000000.0,5010000000,3274000000,4744000000.0,4272000000.0,1643000000.0,9040000000.0,197000000.0,NKE,23717000000.0,7866000000.0,14677000000.0,
2019-06-30,1708000000.0,1948000000,,17163000000.0,4031000000.0,4762000000,5828000000,2130000000,8255000000.0,25382000000.0,4665000000.0,117000000.0,-25596000000.0,1468000000.0,803000000.0,10529000000,2166000000,7627000000.0,3506000000.0,31128000000.0,-11199000000.0,,PM,39923000000.0,18046000000.0,49332000000.0,35224000000
2019-03-31,205000000.0,5943000000,935000000,6262000000.0,3420000000.0,2144000000,5196000000,12327000000,2356000000.0,27024000000.0,32050000000.0,1000000.0,8883000000.0,1476000000.0,325000000.0,7770000000,357000000,1922000000.0,158000000.0,43582000000.0,14079000000.0,,MO,59233000000.0,10119000000.0,45114000000.0,33664000000
2019-03-31,5566000000.0,31933000000,,8539000000.0,1542000000.0,2936000000,20686000000,17958000000,2620000000.0,12944000000.0,7004000000.0,6000000.0,-35074000000.0,549000000.0,841000000.0,4975000000,2518000000,9156000000.0,2781000000.0,24954000000.0,25828000000.0,,MDLZ,64162000000.0,17721000000.0,38253000000.0,20561000000
2019-03-31,1068000000.0,4331000000,6000000,7160000000.0,2902000000.0,18000000,1865000000,1215000000,1814000000.0,2883000000.0,173000000.0,2000000.0,-928000000.0,627000000.0,408000000.0,2419000000,1200000000,1891000000.0,2036000000.0,9984000000.0,4588000000.0,,EL,12931000000.0,4231000000.0,8314000000.0,9235000000
2019-06-30,1209000000.0,2338000000,1466000000,4255000000.0,863000000.0,1000000,2536000000,1609000000,1322000000.0,7170000000.0,,32000000.0,-2883000000.0,243000000.0,414000000.0,2122000000,1906000000,4341000000.0,1590000000.0,21653000000.0,-347000000.0,66000000,CL,13151000000.0,3782000000.0,13161000000.0,21682000000
2019-03-31,24560000000.0,25661000000,14000000,80090000000.0,20239000000.0,,0,5518000000,11108000000.0,74650000000.0,8808000000,-12000000.0,40765000000.0,6589000000.0,3376000000.0,27235000000,12079000000,82376000000.0,39346000000.0,23939000000.0,40765000000.0,6021000000,GM,233132000000.0,85303000000.0,188494000000.0,
2019-06-30,2993000000.0,510000000,473000000,5321000000.0,534000000.0,1291000000,1478000000,0,1856000000.0,6992000000.0,249000000,10000000.0,-1618000000.0,676000000.0,534000000.0,2165000000,280000000,7623000000.0,2397000000.0,6170000000.0,-140000000.0,,KMB,15347000000.0,6585000000.0,15259000000.0,4062000000
2019-06-30,2382369600.0,4125872400,206122800,10336887600.0,1226487600.0,,9810762000,4025657999.9999995,3395901600.0,5452574400.0,662781600,3370959.50653698,3745513199.9999995,60356400.0,1196878800.0,4467512400,764134800,2816252400.0,4314913200.0,8551249200.0,13556275200.0,,PHG,30009657600.0,8118505200.0,16421496000.0,110463600
2019-06-30,3133587000.0,,,10181952000.0,,1791085000,,,3382358000.0,11234401000.0,365547000,19072000.0,5715393000.0,842978000.0,569748000.0,4664101000,3837762000,19600979000.0,1147100000.0,,5715393000.0,,TSLA,31872597000.0,9588773000.0,24722136000.0,
2019-05-31,579100000.0,1417000000,2200000,3580900000.0,98700000,1065400000.0000001,7756000000,2847500000,1494100000.0,12272800000.0,5839900000,8300000.000000001,-6256699999.999999,1030400000.0000001,1199800000.0,632800000.000001,180600000,5693300000.0,788300000.0,13888900000,12174600000.0,,STZ,28951100000.0,2939300000.0,16462900000.000002,2778000000
2019-06-30,22980000000.0,22111000000,41000000,118351000000.0,22117000000,37407000000,265000000,0,12437000000.0,104226000000.0,3553000000,2000000.0,35832000000.0,8309000000.0,2907000000.0,22176000000,7609000000,67678000000.0,64697000000.0,22769000000,36097000000.0,15931000000,F,262184000000.0,98334000000.0,226048000000.0,1388000000
2018-12-31,4153000000.0,58723000000,12000000,9075000000.0,1131000000,377000000,36503000000,49468000000,2667000000.0,30770000000.0,5000000,-59000000.0,-71904000000.0,1332000000.0,2996000000.0,2952000000,902000000,7078000000.0,2129000000.0,-4853000000,51657000000.0,,KHC,103461000000.0,7503000000.0,51683000000.0,282000000
2019-03-31,3482000000.0,16640000000,10000000,12836000000.0,245000000,1106000000,18311000000,6015000000,2124000000.0,8418000000.0,946000000,34000000.0,-23829000000.0,7029000000.0,4669000000.0,5991000000,4296000000,3332000000.0,5792000000.0,6416000000,20036000000.0,,JCI,48489000000.0,13441000000.0,27188000000.0,2078000000
2019-03-31,257935000.0,4288638000,3174000,1907300000.0,618344000,,1331643000,1042839000,300780000.0,19264000.0,,0.0,-47681999.99999979,47622000.0,127818000.0,354277000,306795000,241232000.0,596661000.0,4176130000,3698820000.0,263697000,MNST,4655851000.0,630972000.0,957031000.0,4734997000
2019-06-30,588417000.0,,,4033871000.0,,5068000,,,1665132000.0,3168952000.0,,0.0,4150737000.0,739776000.0,424049000.0,1318342000,1137219000,2137693000.0000002,1338610000.0,,4150737000.0,,VFC,10436393000.0,1979485000.0,6285656000.0,
2019-05-31,2854100000.0,1386700000,75500000,4186500000.0,450000000,1396500000,13995800000,7166799999.999999,1559300000.0,11624800000.0,452900000,11000000.0,-28314000000.0,522000000.0,198400000.0,1330300000,1448900000,3787200000.0,1679700000.0,14996700000,7054500000.0,6700000,GIS,30645800000.0,7087100000.0,22726400000.0,6779000000
2019-06-30,479792000.0,1075187000,359901000,2093558000.0,365963000,353186000,1805955000,1257868000,957953000.0,3082708000.0,,431000.0,-3329367000.0,267269000.0,230896000.0,622319000,184036000,2339219000.0,538746000.0,7358277000,1675120000.0,,HSY,7793560000.0,2387427000.0,6109479000.0,6781509000
2019-03-31,1710000000.0,4350000000,45000000,6376000000.0,360000000,1564000000,10946000000,7295000000,3899000000.0,10810000000.0,99000000,4000000.0,2477000000.0,697000000.0,280000000.0,1324000000,1238000000,7085000000.0,1837000000.0,13012000000,13423000000.0,,TSN,32498000000.0,4614000000.0,18940000000.0,3988000000
2019-03-31,4053500000.0,94300000,347000000,7334700000.0,2842600000,1000000,0,,1272600000.0,10226900000.0,63700000,0.0,9105500000.0,1257500000.0,401700000.0,8899999.99999982,2746900000,6145400000.0,1736200000.0,9793100000,9105500000.0,1081600000,PCAR,26157000000.0,4077700000.0,17051500000.0,33400000
